concepto,tipo_concepto,conteo_total,Categoria_raw,rule_action,include_in_count,es_remap,concepto_canonico,concepto_key,tipo_concepto_key,canon_key,compile_status,issue_reason,duplicate_count,source_rows,categoria_fuente_all
Té de Limón,complemento,12.0,Bebidas,direct,True,False,Té de Limón,te de limon,complemento,te de limon,ok,,1,233,Bebidas
Alitas 10,complemento,11.0,Contar Alitas 10 Piezas,count_as,True,True,Alitas 10 Piezas,alitas 10,complemento,alitas 10 piezas,ok,,1,238,Contar Alitas 10 Piezas
Manzanita,base,11.0,Contar como Manzanita,count_as,True,True,Manzanita,manzanita,base,manzanita,ok,,1,236,Contar como Manzanita
Papas con Queso CRSP,base,11.0,Complementos,direct,True,False,Papas con Queso CRSP,papas con queso crsp,base,papas con queso crsp,ok,,1,237,Complementos
Piña Colada,base,10.0,Bebidas,direct,True,False,Piña Colada,pina colada,base,pina colada,ok,,1,240,Bebidas
Waldo's Cheesy Fries,base,10.0,Complementos,direct,True,False,Waldo's Cheesy Fries,waldo s cheesy fries,base,waldo s cheesy fries,ok,,1,239,Complementos
Extras Tarro,base,9.0,Extras,direct,True,False,Extras Tarro,extras tarro,base,extras tarro,ok,,1,243,Extras
Papas con Queso y Tocino CRSP,base,9.0,Complementos,direct,True,False,Papas con Queso y Tocino CRSP,papas con queso y tocino crsp,base,papas con queso y tocino crsp,ok,,1,241,Complementos
Salsa de Cacahuate,complemento,9.0,Modificadores,direct,True,False,Salsa de Cacahuate,salsa de cacahuate,complemento,salsa de cacahuate,ok,,1,242,Modificadores
7 up,base,8.0,Contar como 7UP!,count_as,True,True,7UP!,7 up,base,7up,ok,,1,246,Contar como 7UP!
Combo Mini Burrito,base,8.0,Combos,direct,True,False,Combo Mini Burrito,combo mini burrito,base,combo mini burrito,ok,,1,247,Combos
Sin Queso,complemento,8.0,Modificadores,direct,True,False,Sin Queso,sin queso,complemento,sin queso,ok,,1,245,Modificadores
Extra Pollo,base,7.0,Extras,direct,True,False,Extra Pollo,extra pollo,base,extra pollo,ok,,1,251,Extras
Extra Salsa Verde,base,7.0,Extras,direct,True,False,Extra Salsa Verde,extra salsa verde,base,extra salsa verde,ok,,1,252,Extras
Sangría,base,7.0,Bebidas,direct,True,False,Sangría,sangria,base,sangria,ok,,1,253,Bebidas
Squirt,base,7.0,Contar como Squirt,count_as,True,True,Squirt,squirt,base,squirt,ok,,1,250,Contar como Squirt
Burrito de Asada (Delivery Miyana),base,6.0,Contar como Burrito de Asada,count_as,True,True,Burrito de Asada,burrito de asada delivery miyana,base,burrito de asada,ok,,1,254,Contar como Burrito de Asada
Mezcalita 3x2,base,6.0,Combos,direct,True,False,Mezcalita 3x2,mezcalita 3x2,base,mezcalita 3x2,ok,,1,256,Combos
Pepsi,base,6.0,Contar como PEPSI,count_as,True,True,PEPSI,pepsi,base,pepsi,ok,,1,255,Contar como PEPSI
Coca-cola Sin Azúcar,base,5.0,Contar como Coca-Cola Sin Azucar,count_as,True,True,Coca-Cola Sin Azucar,coca-cola sin azucar,base,coca-cola sin azucar,ok,,1,259,Contar como Coca-Cola Sin Azucar
Extra Arrachera,base,5.0,Extras,direct,True,False,Extra Arrachera,extra arrachera,base,extra arrachera,ok,,1,257,Extras
Extra Huevo,base,5.0,Extras,direct,True,False,Extra Huevo,extra huevo,base,extra huevo,ok,,1,258,Extras
Extra Tocino,complemento,5.0,Extras,direct,True,False,Extra Tocino,extra tocino,complemento,extra tocino,ok,,1,260,Extras
Margaritas 3x2,base,5.0,Combos,direct,True,False,Margaritas 3x2,margaritas 3x2,base,margaritas 3x2,ok,,1,261,Combos
Mini Burrito,base,5.0,Contar como Combo Mini Burrito,count_as,True,True,Combo Mini Burrito,mini burrito,base,combo mini burrito,ok,,1,262,Contar como Combo Mini Burrito
BurriCombo (Delivery Miyana),base,4.0,Contar como BurriCombo,count_as,True,True,BurriCombo,burricombo delivery miyana,base,burricombo,ok,,1,265,Contar como BurriCombo
Extra Clamato,base,4.0,Extras,direct,True,False,Extra Clamato,extra clamato,base,extra clamato,ok,,1,266,Extras
Extra Jalapeños,complemento,4.0,Extras,direct,True,False,Extra Jalapeños,extra jalapenos,complemento,extra jalapenos,ok,,1,263,Extras
Frozen Margaritas,base,4.0,Bebidas,direct,True,False,Frozen Margaritas,frozen margaritas,base,frozen margaritas,ok,,1,267,Bebidas
Gin & Tonic 3x2,base,4.0,Combos,direct,True,False,Gin & Tonic 3x2,gin tonic 3x2,base,gin tonic 3x2,ok,,1,264,Combos
Burrito Norteño (Delivery Miyana),base,3.0,Contar como Burrito Norteño New York,count_as,True,True,Burrito Norteño New York,burrito norteno delivery miyana,base,burrito norteno new york,ok,,1,270,Contar como Burrito Norteño New York
Extra Chicharron,base,3.0,Extras,direct,True,False,Extra Chicharron,extra chicharron,base,extra chicharron,ok,,1,271,Extras
Mini Burrito Norteño New York (Delivery Miyana),base,3.0,Contar como Mini Burrito Norteño New York,count_as,True,True,Mini Burrito Norteño New York,mini burrito norteno new york delivery miyana,base,mini burrito norteno new york,ok,,1,272,Contar como Mini Burrito Norteño New York
Refresco (Delivery Miyana),base,3.0,No contar,exclude,False,False,Refresco (Delivery Miyana),refresco delivery miyana,base,refresco delivery miyana,ok,,1,268,No contar
Burrito Santi (Delivery Miyana),base,2.0,Contar como Burrito Santi,count_as,True,True,Burrito Santi,burrito santi delivery miyana,base,burrito santi,ok,,1,275,Contar como Burrito Santi
Coca-cola Regular,base,2.0,Contar como Coca-Cola Regular,count_as,True,True,Coca-Cola Regular,coca-cola regular,base,coca-cola regular,ok,,1,277,Contar como Coca-Cola Regular
Extra BBQ (Delivery Miyana),base,2.0,contar como Extra BBQ,count_as,True,True,Extra BBQ,extra bbq delivery miyana,base,extra bbq,ok,,1,276,contar como Extra BBQ
Mirinda,base,2.0,Bebidas,direct,True,False,Mirinda,mirinda,base,mirinda,ok,,1,274,Bebidas
Queso Fundido,base,2.0,Modificadores,direct,True,False,Queso Fundido,queso fundido,base,queso fundido,ok,,1,273,Modificadores
